n,single,parallel,atomic,critical,2 sections,4 sections,lock,barrier
100000,0.0006475,0.000912,0.0014407,0.0418359,0.0007129,0.0007198,0.0723563,0.0004127
200000,0.0016045,0.0001678,0.002917,0.0824266,0.0014215,0.0014423,0.15177,0.0008709
300000,0.0021991,0.0005714,0.0044506,0.131939,0.0021635,0.0021535,0.211303,0.001428
400000,0.002931,0.0004824,0.0059744,0.185837,0.0028746,0.0028717,0.3201,0.0018641
500000,0.0036541,0.0006412,0.0073789,0.208457,0.0035891,0.003588,0.384441,0.0016769
600000,0.0043781,0.0004633,0.0088341,0.250083,0.0043273,0.0040139,0.466193,0.0028472
700000,0.0051453,0.0004251,0.010308,0.292253,0.0050616,0.0046354,0.537896,0.0032033
800000,0.0058435,0.0004025,0.0117862,0.33852,0.0057159,0.0053,0.567235,0.0023363
900000,0.0070928,0.0007985,0.0131475,0.376767,0.0064544,0.0059259,0.688896,0.0042415
1000000,0.0073027,0.0004931,0.0146595,0.413994,0.0072008,0.0064034,0.715475,0.0046389
1100000,0.00805,0.0005323,0.0162817,0.46421,0.0078928,0.0070329,0.806675,0.0052158
1200000,0.0084774,0.000614,0.0176199,0.514939,0.0079324,0.007683,0.878051,0.0055166
1300000,0.0087287,0.0007683,0.0189832,0.554816,0.0085336,0.0083775,0.937308,0.0059843
1400000,0.0094248,0.0009103,0.0204514,0.594558,0.0092963,0.0090256,1.02317,0.006413
1500000,0.010061,0.0013822,0.0218802,0.624575,0.0098583,0.0096137,1.07707,0.00493
1600000,0.0107319,0.0007738,0.0233552,0.68416,0.0105372,0.0103717,1.1607,0.0076625
1700000,0.0111711,0.0008799,0.0247792,0.745334,0.0111582,0.0108873,1.25695,0.0075772
1800000,0.0119788,0.0011399,0.0261227,0.755306,0.0115224,0.0114783,1.31251,0.0079887
1900000,0.0123348,0.0009073,0.0276196,0.802376,0.0120193,0.0121188,1.38212,0.009183
2000000,0.013002,0.0010955,0.0292251,0.848685,0.0127385,0.0127561,1.54958,0.0095781
2100000,0.0136488,0.0010204,0.0306069,0.874119,0.013742,0.0134538,1.62257,0.0070714
2200000,0.014428,0.0012902,0.0320812,0.934204,0.0140118,0.0144455,1.63105,0.0099355
2300000,0.0149222,0.001612,0.0334358,1.00504,0.0145951,0.0146789,1.81049,0.0075427
2400000,0.0156926,0.0011749,0.0348594,1.05383,0.015262,0.0154287,1.78451,0.0079764
2500000,0.0162484,0.0014214,0.0368455,1.08438,0.0159228,0.0160814,1.85598,0.01178
2600000,0.0169687,0.0013269,0.0380882,1.14089,0.0165296,0.0166891,2.02591,0.0116068
2700000,0.0175559,0.0013347,0.0393161,1.14051,0.0173046,0.0173284,1.96278,0.0126179
2800000,0.0181735,0.0018857,0.0408573,1.17804,0.0179129,0.0180087,2.09975,0.0180118
2900000,0.0188613,0.0025274,0.0425488,1.23621,0.0184797,0.0187198,2.15839,0.0098609
3000000,0.0194928,0.0014941,0.0437938,1.31595,0.0193644,0.0191229,2.27045,0.0147673
3100000,0.0201673,0.0015805,0.0453258,1.35419,0.0197737,0.0197737,2.25149,0.0150057
3200000,0.0208672,0.0026416,0.0468892,1.39919,0.0203247,0.0203795,2.35319,0.0152032
3300000,0.0216465,0.0020771,0.0486442,1.48072,0.0210109,0.0213027,2.464,0.0151866
3400000,0.0221031,0.0019692,0.0494922,1.50311,0.0216217,0.0217349,2.53019,0.0159292
3500000,0.0227423,0.0019328,0.0511976,1.47457,0.0223292,0.0219699,2.57954,0.0160601
3600000,0.023393,0.003233,0.052309,1.51785,0.022898,0.0226056,2.82171,0.0171426
3700000,0.0240697,0.0023385,0.0543494,1.63734,0.0236402,0.0238467,2.74233,0.023821
